date,S&P Aerospace & Defense Select Industry Index
4/13/2022,19142.46
4/14/2022,19173.11
4/18/2022,18994.09
4/19/2022,19330.88
4/20/2022,19224.21
4/21/2022,18564.71
4/22/2022,18285.02
4/25/2022,18249.5
4/26/2022,17804.1
4/27/2022,17682.26
4/28/2022,17906.79
4/29/2022,17385.23
5/2/2022,17495.64
5/3/2022,17518.2
5/4/2022,18015.99
5/5/2022,17392.46
5/6/2022,17086.8
5/9/2022,16072.57
5/10/2022,16086.04
5/11/2022,15749.49
5/12/2022,15727.13
5/13/2022,16277.3
5/16/2022,16131.39
5/17/2022,16633
5/18/2022,16112.85
5/19/2022,15954.08
5/20/2022,15748.06
5/23/2022,15958.26
5/24/2022,15876.81
5/25/2022,16127.11
5/26/2022,16436.87
5/27/2022,16885.99
5/31/2022,16695.36
6/1/2022,16670.6
6/2/2022,17108.73
6/3/2022,16981.7
6/6/2022,17059.81
6/7/2022,17329.27
6/8/2022,17064.75
6/9/2022,16647.02
6/10/2022,16153.21
6/13/2022,15421.16
6/14/2022,15239.87
6/15/2022,15520.59
6/16/2022,14850.68
6/17/2022,15045.19
6/21/2022,15300.25
6/22/2022,15254.29
6/23/2022,15211.76
6/24/2022,15685
6/27/2022,15673.49
6/28/2022,15496.98
6/29/2022,15289.94
6/30/2022,15532.18
7/1/2022,15729.85
7/5/2022,15428.43
7/6/2022,15518.53
7/7/2022,15840.95
7/8/2022,15835.33
7/11/2022,15497.69
7/12/2022,15569.37
7/13/2022,15392.48
7/14/2022,15263.49
7/15/2022,15496.8
7/18/2022,15421.49
7/19/2022,16052.05
7/20/2022,16318.17
7/21/2022,16359.51
7/22/2022,16063.21
7/25/2022,16153.64
7/26/2022,15983.27
7/27/2022,16210.6
7/28/2022,16560.79
7/29/2022,16854.06
8/1/2022,17014.42
8/2/2022,16980.26
8/3/2022,17013.47
8/4/2022,17014.66
8/5/2022,16796.57
8/8/2022,16818.2
8/9/2022,16757.32
8/10/2022,17179.1
8/11/2022,17230.46
8/12/2022,17753.51
8/15/2022,17771.45
8/16/2022,17831.92
8/17/2022,17508.97
8/18/2022,17534.59
8/19/2022,17189.09
8/22/2022,16733.51
8/23/2022,16671.19
8/24/2022,16877.15
8/25/2022,17232.61
8/26/2022,16600.52
8/29/2022,16472.6
8/30/2022,16227.48
8/31/2022,16099.71
9/1/2022,15824.77
9/2/2022,15741.44
9/6/2022,15754.01
9/7/2022,16122.38
9/8/2022,16221.75
9/9/2022,16452.52
9/12/2022,16599.07
9/13/2022,15850.98
9/14/2022,16012.15
9/15/2022,15755.68
9/16/2022,15488.19
9/19/2022,15591.98
9/20/2022,15489.66
9/21/2022,15335.25
9/22/2022,15060.34
9/23/2022,14636
9/26/2022,14409.96
9/27/2022,14339.4
9/28/2022,14675.22
9/29/2022,14280.01
9/30/2022,14165.87
10/3/2022,14643.52
10/4/2022,15258.6
10/5/2022,15139.78
10/6/2022,15018.2
10/7/2022,14839.41
10/10/2022,14934.9
10/11/2022,14864.18
10/12/2022,14552.12
10/13/2022,14834.9
10/14/2022,14422.9
10/17/2022,14903.6
10/18/2022,15351.19
10/19/2022,15333.95
10/20/2022,15283.05
10/21/2022,15646.53
10/24/2022,15802.68
10/25/2022,16001.41
10/26/2022,15832.96
10/27/2022,16075.06
10/28/2022,16480.55
10/31/2022,16414.06
11/1/2022,16481.12
11/2/2022,16138.85
11/3/2022,16115.45
11/4/2022,16330.46
11/7/2022,16672.51
11/8/2022,16800.67
11/9/2022,16655.29
11/10/2022,17494.33
11/11/2022,17117.93
11/14/2022,16774.81
11/15/2022,17034.38
11/16/2022,16844.58
11/17/2022,16829.84
11/18/2022,16939.53
11/21/2022,16942.48
11/22/2022,16980.37
11/23/2022,16973.45
11/25/2022,17058.43
11/28/2022,16637.97
11/29/2022,16659.23
11/30/2022,17037.99
12/1/2022,17148.67
12/2/2022,17433.05
12/5/2022,17152.66
12/6/2022,16767.62
12/7/2022,16685.62
12/8/2022,16757.68
12/9/2022,16614.31
12/12/2022,16903.48
12/13/2022,16859.13
12/14/2022,16875.64
12/15/2022,16490.9
12/16/2022,16849.56
12/19/2022,16674.22
12/20/2022,16758.83
12/21/2022,17046.82
12/22/2022,16753.63
12/23/2022,16851.01
12/27/2022,16806.91
12/28/2022,16680.2
12/29/2022,16914.68
12/30/2022,17023.84
1/3/2023,16991.17
1/4/2023,17185.51
1/5/2023,17137.18
1/6/2023,17443.9
1/9/2023,17267.58
